"CandidateID","Additional-Info","Skills","Work-Experience__Company","Work-Experience__Job-Description","Work-Experience__Job-Duration","Work-Experience__Job Title","Location","Education__Institute","Education__School-Duration","Education__Qualification","Resume-Summary"
"0","None","HTML Avançado, (6 years), CSS Avançado (6 years), JavaScript Intermediário (3 years), sharepoint (4 years), less (2 years), grunt (2 years), jquery (3 years), Análise de Sistemas (3 years), Inglês Intermediário (2 years)","Odebrecht - São Paulo, SP && Entercom Microsystems - São Paulo, SP && Agência de marketing Actwork && Agência de comunicação e Design Ivoire","Desenvolvedora Front-end SharePoint  Empresa: Odebrecht && Desenvolvedora SharePoint, responsável pelo desenvolvimento e manutenção de portais em SharePoint. && None && None","March 2014 to Present && November 2012 to March 2014 && April 2011 to June 2012 && November 2010 to April 2011","Front End Developer && Front End Developer && Programador Front-end && Assistente de web master","São Paulo, SP","Faculdade Carlos Drummond de Andrade São Paulo, SP","July 2011 to August 2013","Tecnologo in TI","Desenvolvimento Front-end"
"2","None","Microsoft Office (10+ years), CSS Intermediário (5 years), Wordpress (5 years), Illustrator (5 years), Photoshop (5 years), InDesign (5 years), Sony Vegas (3 years), HTML Intermediário (5 years)","eVision Agência Digital - São Paulo, SP && Promus Brindes && HTC Web Tecnologia","Front end  Profissional  2015 - 2016 Conversão de layouts para as plataformas Photoshop  Wordpress e Vtex, seguindo toda a criação  Illustrator  aprovada pelo cliente.  InDesign && Criação de cartões de visita, logotipos, entre Sony Vegas  outros materiais impressos para circulação  HTML/CSS  interna e envio aos clientes.  Criação e disparo do Email Marketing Semanal  Wordpress de Produtos e Campanhas. Outros CMS  Administração geral do website da empresa  (http://www.promusbrindes.com.br).  Personal && Criação e recorte para uso na plataforma Equipe  Wordpress, responsável pela montagem dos  Criatividade  arquivos em HTML/CSS/PHP.  Criação de logotipos, personalização de temas  baseado na identidade visual do cliente.","2015 to 2016 && 2013 to 2015 && 2011 to 2013","Front End Developer && Web & Designer Gráfico && Web & Designer Gráfico","São Paulo, SP","UNINOVE São Paulo, SP && Escola Panamericana de Arte e Design São Paulo, SP && Universidade Bandeirantes São Paulo, SP","January 2010 to December 2012 && January 2007 to December 2009 && January 2004 to December 2007","Técnico in Produção e Criação Publicitária && Técnico in Design Gráfico && Bacharelado in Análise de Sistema","• Web Designer  • Front End  • Designer Gráfico  • Arte Finalista"
"4","None","Microsoft Office (5 years), CSS Avançado (2 years), HTML Avançado (2 years), JavaScript Avançado (Less than 1 year), Java Intermediário (Less than 1 year), Ruby Básico (Less than 1 year), Excel Avançado (2 years), Git (Less than 1 year), Photoshop Básico (Less than 1 year), VBA Intermediário (1 year)","Catskillet - Fortaleza, CE && Caixa Seguradora S.A. - Fortaleza, CE && Superintendência Regional da Caixa - Fortaleza, CE && Future Jobs - Fortaleza, CE && CENAPAD - UFC - Fortaleza, CE","Desenvolvia aplicações concisas, responsivas e semânticas para a web, utilizando de tecnologias recentes e boas práticas de desenvolvimento. && Preparava planilhas de acompanhamento de campanhas, criava macros no Excel para automatizar atividades, atendia à clientes via telefone. && Criava e mantinha o site de intranet, criava macros no Excel para automatizar e agilizar atividades corriqueiras, melhorava planilhas já existentes para facilitar compreensão, melhorava fórmulas e códigos VBA. && Auxiliava alunos no entendimento dos conteúdos dos cursos. && Suporte técnico de redes de computadores (Atualização de servidores e cabeamento); Desenvolvimento de sistemas (Manutenção de sites e criação de novas ferramentas web).  Participei da criação do SIGU (Sistema de Gerenciamento de Usuários)","July 2016 to January 2017 && November 2015 to June 2016 && August 2014 to November 2015 && July 2011 to January 2012 && None","Front End Developer && Assistente Administrativo && Estagiário && Monitor de Informática && Estagiário","Fortaleza, CE","Estácio de Sá Fortaleza, CE","August 2014 to July 2018","Bacharelado in Sistemas de Informação","Tenho como objetivo, conciliar trabalho e estudo, ao modo de pôr em prática o que foi aprendido em aula e continuar aprendendo de forma prática para agregar valor para mim e para a empresa."
"7","Additional Information Portfolio Pessoal e Curriculum (inglês): http://deholanda.com.br/    Flávio de Holanda Conte (27) | Frontend Developer (~7 years) & Designer (~9 years).    Desde os 16 anos tive uma paixão por Design e sua aplicação no nosso cotidiano, não só profissional. Formado em Comunicação Social com ênfase em Publicidade e Propaganda, encontrei oportunidades para trabalhar como Designer, o que me fez ver a dificuldade que desenvolvedores de produtos digitais por vezes tinham de aplicar coisas que eu prototipava. Desde então, foquei meu conhecimento como Comunicador e Designer para desenvolver projetos de qualidade, sem deixar de lado questões que no mercado por vezes são ignoradas, assim oferecendo interfaces visuais simples, bonitas e ricas em usabilidade. Hoje em dia, focado no desenvolvimento de produtos digitais como Designer & Frontend Developer, consigo ser um profissional multidisciplinar o que facilita nos trabalhos individuais e em equipe. Acredito na conversação entre Comunicação, Design e Desenvolvimento como diferencial para criar e desenvolver produtos verdadeiramente únicos e notáveis, focados em obter os resultados que os clientes precisam.","- HTML5 – certificado ADOBE partner / ENG DTP & Multimídia (Bootstrap, Tableless, W3C e Crossbrowser Dev) - PHP Front-End - CSS3 (SASS, SCSS, Less) - JavaScript (jQuery, AngularJS, Gulp, Grunt, Jasmine) - GIT & SVN - Bash - Wordpress - Pardot - Scrum - Kanban - Red Mine - Basecamp - Trello - Microsoft Share Point, - Sublime Text 3 - Terminal / iTerm2 - Adobe Photoshop, Illustrator, inDesign - Genymotion - Xcode - Microsoft Office","Tiki - São José, SC && Chute Corporation - San Francisco Bay Area, CA && Grupo Globo / GRPCOM - Curitiba, PR","Responsabilidades  Atuar no desenvolvimento front-end em aplicação MVC web da empresa e  Wordpress.    Realizações    http://www.cariocacalcados.com.br/  http://queroserdevlocaweb.com.br/  http://amcconstrutora.com.br/  http://www.lougge.com.br/  http://alphaeducacao.com.br/  http://www.viraldosvirais.com.br/  http://www.woa.com.br/  http://mdk.dominik.com.br/    Habilidades  Utilizando HTML5, CSS3, e JavaScript, desenvolvi Lojas, Websites  corporativos e Landing Pages, responsivos, devidamente documentados e  versionados. && Responsabilidades  Start Up localizada em SOMA Bay Area - San Francisco USA, trabalho remoto  como PJ, onde me integrei a equipe de desenvolvimento dentro da API da  empresa.    Realizações    http://visualrevolution.com/  http://cdn.getchute.com/display-runners/sales-landing-page/demo.html  http://cdn.getchute.com/display-runners/bing-photo-contest-hub/demo.html  http://cdn.getchute.com/display-runners/coke-essence-fest-interactive/demo.html  http://cdn.getchute.com/display-runners/western-union/demo.html  http://cdn.getchute.com/display-runners/uniqlo/demo.html  cdn.getchute.com/display-runners/conde-naste-traveler-land-rover/development/conde-naste-traveler-land-rover.html?storeUrl=http://s3.amazonaws.com/store.getchute.com/54136a2e2f2f8720a6000001    Habilidades  Utilizando recursos de HTML5, CSS3 (SCSS) e Javascript, && Responsabilidades  Atuar no desenvolvimento de novos produtos digitais dos jornais do grupo:  Gazeta do Povo / Gazeta Maringá / Jornal de Londrina / Paraná Online /  Tribuna. Atuei no desenvolvimento dos blogs, lance a lance de partidas  além da rede social todos produtos da Gazeta do Povo.     Realizações  Acesse o principal portal em que atuei: www.gazetadopovo.com.br     Habilidades  Neste projetos utilizei conhecimentos como Designer e Desenvolvedor Front End.","April 2015 to December 2015 && April 2014 to October 2014 && None","Desenvolvedor Front-End && Desenvolvedor Front-End && Designer / Desenvolvedor Front-End","Curitiba, PR","Unicuritiba Curitiba, PR","2007 to 2012","Bacharelado in Comunicação Social - Publicidade e Propaganda","None"
"11","None","HTML, CSS, Javascript, Jquery, GIT, GIT Flow Wordpress (7 years)","18 Comunicação - Belo Horizonte, MG && Web2ez - Belo Horizonte, MG && Opa Tecnologia - Belo Horizonte, MG && Print4me - Belo Horizonte, MG","Responsabilidades  Responsável pelas implementações front-end em sites utilizando WordPress ou montagem pura de HMTL/CSS/JS.    Realizações  Implementação de templates em WordPress  Montagem de interfaces digital em geral  Otimização dos templates quanto à velocidade de carregamento  Organização dos arquivos de template, para agilizar o trabalho, melhorar a compatibilidade com outros navegadores e também diminuir o tamanho dos arquivos gerados    Habilidades  - Organização  - Pró-atividade  - Pontualidade && Responsabilidades  Responsável pelas implementações front-end em sites utilizando WordPress ou montagem pura de HMTL/CSS/JS.    Realizações  Implementação de templates em WordPress  Montagem de interfaces digital em geral  Otimização dos templates quanto à velocidade de carregamento  Organização dos arquivos de template, para agilizar o trabalho, melhorar a compatibilidade com outros navegadores e também diminuir o tamanho dos arquivos gerados    Habilidades  - Organização  - Pró-atividade  - Pontualidade && Responsabilidades  Responsável pelas implementações front-end no sistema online da empresa, além de efetuar na correção de bugs e na sugestão melhorias gerais no que tange à parte visual e também à performance do sistema.    Responsável também pelo desenvolvimento de novos projetos web, em Wordpress, desde a montagem front-end quanto das implementações no sistema dos campos necessários para cadastro de cada tipo de conteúdo, de acordo com a necessidade de cada projeto.    Realizações  Melhoria nos processos para organização no desenvolvimento de novos projetos, para diminuir a refação e também manter a coerência de navegação dos projetos desenvolvidos.    Habilidades  - Organização  - Pró-atividade  - Pontualidade && Responsabilidades  Responsável pela parte fron-end do site, padronizando a estrutura a fim de melhorar implementações futuras e também manter o bom funcionamento do site, tanto em desktop quanto mobile, já que o site é responsivo.    Realizações  - Melhora na visualização do site em dispositivos móveis  - Diminuição do tempo de carregamento do site  - Reestruturação e validação de diversas páginas, de acordo com normas da W3C  - Implementação do Compass / SASS e minificação geral dos arquivos JS/CSS e mesclagem dos arquivos para diminuir a quantidade de requisições de arquivos na página    Habilidades  - Análise de melhorias: Verificação geral do site para busca de problemas de front-end (montagem) e de carregamento (tamanho de imagens, quantidade de requisições, tamanho dos arquivos, sprites)","November 2015 to Present && September 2015 to November 2015 && May 2015 to August 2015 && January 2015 to May 2015","Front-end Developer && Front-end developer && Front-end developer && Front-end Developer","Belo Horizonte, MG","UNATEC Belo Horizonte, MG","2010 to 2012","Graduação in Design Gráfico","None"
"13","None","HTML5,CSS3, Javascript(Jquery e AngularJs), Photoshop, PostgreSQL, Phonegap e Android","VC.2B - São Paulo, SP && Med Cine Editora e Filmagens - São Paulo, SP && AutoMate do Brasil - São Paulo, SP && White Box Studio - São Paulo, SP && AGTECH Soluções em Tecnologia LTDA - São Paulo, SP","Desenvolvimento de interfaces de sistemas web e mobile. Utilizando HTML5, CSS3, JavaScript (Jquery, Angular, React),Asp.Net Core, WordPress. Git, Bower, Sass, Gulp/Grunt. && Desenvolvimento de websites responsivos, interfaces de sistemas web, E-commerce. Utilizando HTML5, CSS , JavaScript(Jquery e AngularJS), alteração de interface WordPress Controle de versão Git, Bower e Grunt/Gulp && Responsabilidades  Desenvolvimento de workflows para automação de processos na área jurídica e financeira, análise e levantamento de requisitos. && Desenvolvimento web, utilizando HTML, CSS, JavaScript, PHP, ASP.NET && Responsabilidades  Organização e elaboração de cotações; elaboração de propostas técnicas/comerciais; trabalho de relacionamento de venda pós-vendas de produtos e serviços da área de TI; apoio técnico/comercial no desenvolvimento de projetos para licitações públicas e privadas    Realizações  As minhas maiores realizações foram ajudar a empresa a conseguir atingir a sua meta e entregar o projetos nos prazos estipulados    Habilidades  Desenvolvimento de propostas técnicas, entrega de projetos etc.","September 2016 to Present && June 2015 to September 2016 && May 2015 to May 2015 && October 2014 to April 2015 && November 2013 to October 2014","Desenvolvedor Front-end && Desenvolvedor Front End && Programador && Desenvolvedor Front End Junior && Estagiário","São Paulo, SP","Faculdade de Tecnologia do Estado de São Paulo São Bernardo do Campo, SP","2013 to 2016","Superior in Tecnologia em Informática para Negócios","Programador, Desenvolvedor"
"14","Additional Information EXPERIENCE:   PHP, Angular.JS, Node.JS, Strongloop, Loopback, Meteor.JS, Cordova, JavaScript, Jquery, Html5, Css e Bootstrap.  Architecture MVC, Object Oriented Programming,   Database Modeling.  Relational and non-relational database: Mysql, Postgres, SQL-Server e MongoDB.  Agile Methodology SCRUM.  Versioning system GIT and SVN  Automation of front-end build with Grunt.","PHP Avançado (5 years), nodejs (1 year), Angularjs (1 year), Meteor.js (Less than 1 year), Loopback Strongloop (1 year), JavaScript (4 years), Jquery (5 years), Bootstrap (2 years), Mysql (5 years), MongoDB (1 year), SCRUM (4 years), GIT (3 years)","ITRIAD - Manaus, AM && AXM CONSULTORIA E DESENVOLVIMENTO EMPRESARIAL LTDA - Manaus, AM && Polícia Civil do Amazonas - Manaus, AM && JLV ANDAIMES, FÔRMAS E ESCORAMENTOS LTDA. - Manaus, AM && Secretaria de Estado Segurança Pública AM, empresa terceirizada PROSAM. - Manaus, AM","PHP Developer, working on Front End and Back End. Framework Symfony, Databases Oracle, Angular.js, Bootstrap, Materialize and Progressive Web Apps. && Web developer, Actively working on Front End and Back End. Node.Js, Angular.js, API Strongloop(Loopback), databases Mysql, SQL-Server and MongoDB. && Responsibilities  Activity: Responsible for the implementation and updating of systems, aiming at improving and agility of internal and external processes. && Responsibilities  Activity: Responsible for creating software for equipment control and creation / updating of the company's website, aiming to create dynamic systems / sites for interactivity with its clients. && Responsibilities  Activity: Implementation, elaboration and update of internal systems to control information pertinent to the sectors, aiming at improvement and agility of the processes.","October 2016 to Present && October 2015 to October 2016 && August 2013 to October 2015 && November 2010 to July 2013 && July 2007 to November 2010","Web Developer && Developer Full Stack && PHP Developer / Analyst && PHP Developer / Analyst && PHP Developer / Analyst","Manaus, AM","Idaam Manaus, AM && Idaam Manaus, AM && Uninorte Laureate International Universities Manaus, AM && Fucapi Manaus, AM","2016 to 2017 && 2016 to 2017 && 2013 to 2015 && 2008 to 2010","Specialization in MBA - Project Management (Cursing) && Specialization in MBA - Innovative Business Management (Cursing) && Graduated in Analysis and systems development && Technician in Systems development","Phone: (92) […]  Skype: analistaweb"
