"CandidateID","Additional-Info","Skills","Work-Experience__Company","Work-Experience__Job-Description","Work-Experience__Job-Duration","Work-Experience__Job Title","Location","Education__Institute","Education__School-Duration","Education__Qualification","Resume-Summary"
"11","Additional Information PROJETOS  Aplicativo Android* e iOS - Calculadora Estatística ++  Aplicativo Android* e iOS - Calculadora  Aplicativo Android* - Tempo de Bateria  Aplicativo iOS - Bhaskara    * - disponível na Google Play","PHP Avançado (4 years), Qlikview (Less than 1 year), Qliksense (Less than 1 year), CakePHP (3 years), Java Intermediário (2 years), SQL Intermediário (4 years), HTML Avançado (4 years), JavaScript Intermediário (2 years), Angular JS (Less than 1 year), CSS Intermediário (4 years), Android (2 years), Objective-C Intermediário (2 years)","Teknisa Software - Belo Horizonte, MG && ADITI - Gestão e TI - Belo Horizonte, MG && Sense8 Interactive - Belo Horizonte, MG && FUMEC/FEA - Belo Horizonte, MG && FUMEC/FACE - Belo Horizonte, MG && FUMEC/FACE - Belo Horizonte, MG","Desenvolvimento e manutenção de aplicações foçadas em Food Service.     Foco em JavaScript, PHP e Oracle. && Desenvolvimento QlikView, QlikSense e NPrinting Designer && Desenvolvimento de sites em PHP + MySQL (Back-End). && Desenvolvimento de aplicações internas em PHP + MySQL com utilização do Framework CakePHP, foco em Back-End, suporte aos setores administrativos da unidade FEA e manutenção de computadores. && Suporte à parte Acadêmica e Administrativa da Unidade FACE, manutenção de computadores, gerenciamento dos usuários no Active Directory e suporte às máquinas Apple. && Suporte aos alunos e professores da FUMEC, unidade FACE,  manutenção de computadores e gerenciamento dos usuários no  Active Directory.","September 2016 to Present && November 2015 to Present && July 2015 to November 2015 && June 2012 to July 2015 && January 2012 to March 2012 && June 2011 to January 2012","Web Developer && Analista BI && Denvolvedor Back-End PHP && Assistente de TI && Auxiliar de TI && Estágio CPD","Belo Horizonte, MG","Universidade FUMEC Belo Horizonte, MG","2011 to 2014","Graduação in Ciência da Computação","None"
"12","Additional Information An analyst and software developer that holds a master's degree from Brazilian Aeronautics Institute  of Technology (ITA) with focus in High Performance Computing. Has skills and knowledge about  parallel (shared and distributed memory) software design, code optimization, data processing,  algorithm and data structures. Also have interest in linux kernel programming, benchmarks  techniques, ARM architecture and computational geometry.","C/C++ (10+ years), Fortran 77/90 (9 years), Python (3 years), MPI/openMPI (5 years), IDL/GDL/Matlab (7 years)","BULL Information Technology and Services && Research Support Foundation of the State of São Paulo - São Paulo, BR && Exaflop Systems && National Council of Technological and Scientific Development (CNPq) && Brazilian National Institute for Space Research && MaxLider Industria e comercio LTDA","Working as a researcher in ARM architecture.  Undisclosed. && Responsible for analyzing the parallel structure of the BRAMS model (shared memory only) and modifying it in order to allow more grid cells on the borders of communication (stencil) and thus  permitting the utilization of high-order methods. && Converted a particle trajectory model, initially written in Fortran 90, into C++ by using test-driven  development techniques. Currently working as support. (non-presential) && Responsible for modifying the monotonic advection scheme (Walcek, 2000) in BRAMS to allow the use of data-driven processing (Fonseca, 2015). && Support and development in Brazilian Regional Atmospheric Model (BRAMS).  * Software development (mostly) using HPC techniques (distributed and shared memory  environments).  * User support and training.  * Data processing.  * Code optimization.  * Bug tracking and tests.  Reference: http://meioambiente.cptec.inpe.br && Responsible for designing and building a system to control and interact with a CNC plasma cut  machine. As main activities can relate the development of a CNC-PC communication driver (using C), a system to convert input data into CNC commands (using C++) and a user interface (using C++,  OpenGL).  Reference: http://www.parkernews.com.br/pdf/23_PKNews.pdf (pag 3)","2016 to Present && 2016 to 2016 && 2015 to 2016 && 2015 to 2016 && 2005 to 2015 && 2004 to 2005","Software developer consultant && Software Analyst and developer (TT-V) && Developer (Consultant) && Software Analyst and developer (DTI-B) && Software Analyst and developer && Software design and programmer","Petrópolis, RJ, BR","University of São Carlos && Aeronautics Institute of Technology && University of Taubate && Taubate Technical school","2016 && 2013 to 2015 && 2000 to 2004 && 1997 to 1999","MBA in IT management && Master in Computer Engineering && COMPUTING AND OTHER SKILLS && None","None"
"13","Additional Information QUALIFICATIONS    Well-accomplished Member of Association for Computing Machinery - ACM, of the Brazilian Computer  Society - SBC and Senior Member of Institute of Electrical and Electronics Engineering - IEEE, with 19+  years of industry experience with systems development for the Internet and heterogeneous systems  integration. Solid experience in modeling of environment and business processes to be represented on  Integration Systems environment (EAI). Solid experience with research & development and incorporating  research results into products. Experienced with distribution and parallelism concerns on the development of  commercial and scientific projects. Fluent in English and experienced in working in multidisciplinary and  geographically distributed teams, delegating responsibilities when necessary. Worked in offshore projects with  USA teams.","Java (10+ years)","BioLogica Sistemas && Centro Universitário La Salle - Niteroi, RJ && Universidade Carioca && Universidade Carioca - Rio, BR && Sakonnet Technology LLC && Electronic Data Systems && Agência Click && Interconection IT S/A","Attributions as Software Architect: Conception and development of biometric and integration products.  ● Defined the architecture for a biometrics middleware product based on C/C++. This product is a plug-in based software to allow for it's fast evolution.  ● Defined the architecture for a biometrics integration product based on Java Enterprise Edition standards. This product has a set of decoupled GUI components that allow the user to create their own forms.  ● Coordinated the developer team.  ● Defined the development process based on agile practices for the execution phase, and traditional practices for the definition phase.  ● Coordinated the creation of a build cell for continuous integration  ● Coordinated the effort to include TDD in the development process  ● Coordinated the effort to automate the majority of acceptance tests, reducing the time and costs associated with functional  regression tests && Attributions as an Associate Professor: Teach system development disciplines for the information systems  undergraduate and advise on final project assignments.  Disciplines: Web Programming with Java, Human-Computer Interaction and Distributed Systems.  ● Started the use of Wiimote accelerometer and Kinect in the Human-Computer Interaction discipline to allow the students to learn the new interaction technologies.  ● Advised students for Final Papers using Kinect and GPUs.  ● Created the Adventures of LaSallinho (available at GitHub), a Löve2D game ported to Android for the celebration of La  Salle Week.    Fundação Trompowsky Independent Consultant Sep/2009 - Sep/2011  Attributions as Systems Architect: Conception and development of web based products for DMS and integration with existing Distance Learning solutions.  ● Defined the architecture and implemented a DMS product based on EJB3, JPA, JSF and Facelets  ● Defined the architecture and implemented a Distance Learning product based on EJB3, JPA, JSF and Facelets  ● Trained and coordinated the developer team  ● Created a patch for NetBeans 6.9 to allow the use of JBoss 6 and IceFaces 2.0  ● Development of specific components: Moodle Single Sign-On, JBoss module for user authentication on remote system and File database persistence to integrate with JPA && Attributions as an Associate Professor: Teach system development disciplines for the computer science  undergraduate and advise on final project assignments.  Disciplines: C Programming, Java Programming, Object Oriented Project Design, Object Oriented Programming, Web  Development with Java, Compilers, Distributed Systems and Information Systems.  ● Advised students on a Final Paper to use of the Wii remote controller in Lua with Löve2D. && Attributions as a Developer: Develop a parallelism solution for a Multi-Agent based Stem Cell Simulation. This project  was part of the ""Computer Science Great Challenges"" initiative. && Attributions as Systems Analyst: Develop integration solutions using ESB concepts.    ● Developed solutions based on JBI using ServiceMix, OpenESB and Fuse as integration platform for Java systems.  ● Developed solutions using Open Source tools and providing corrections when necessary.  ● Developed workflows based on jBPM from JBoss for integration solutions  ● Patched an Apache FTP JBI component for product use && Attributions as Lead Technologist: Act as a technology focal point for the various organization projects.  ● Developed a PoC project to integrate a COBOL Enterprise system with Java EJB components running in a System/Z  Websphere. The development was off-shore based, and needed additional infrastructure for component testing based on  IIOP-over-CORBA  ● Defined the architecture for systems integration  ● Defined technological solutions to support the Application Delivery area  ● Advised and trained a 40 people group to become Java Certified Programmers - the whole group was approved  ● Technical advising for web application development and design pattern usage    Attributions as Systems Analyst: Development of large systems in offshore projects.  ● Development and maintenance of the Ticketing Reservation system for American Airlines.  ● Reformulated the automobile sales management system for USA, Canada and Puerto Rico, from General Motors. Spent  one week at EDS Dayton, OH, for training and modeling meetings, acted as the focal point on the Brazilian team. In this  project my performance and commitment was graded as ""exceeded expectations"" due to my efforts on conducting the  Brazilian team.  ● Development and maintenance of the Engineering Control System for General Motors EUA and Europe based on web  technology. && Attributions: Web systems maintenance.    ● Evolving maintenance of the Brasil Veículos site, changes in the DB2 access management and posterior reorganization of the JSP based system.  ● Evolving maintenance of the White Martins Intranet and Institutional site, mainly JSP and JavaScript && Attributions: Development of Internet systems and integration with medium and large projects.    ● Developed the Luft Carrier order follow up system  ● Developed the TVE show program planning system  ● Developed Santa Catarina's Fire Department help desk system  ● Developed Construbid.com e-Marketplace system (awarded with the third place on the Caché Innovator Awards 2001,  Interconnection was the first company outside USA and Europe to win this award);  ● Developed many components for the Santa Catarina's Justice Court project:  ◦ Control scripts and calculus in JavaScript  ◦ Integration agent between Caché and Zim using client/server in Java  ● Interviewed the client and modeled Ibope's on-line trading system  ● Developed the integration of the legacy systems and BR Petrobrás' site. The result of this project was an EAI product  codenamed SCI, subsequently acquired by Intersystems as the base for the Ensemble product. Developed the following  features of SCI:  ◦ Request Classes creation via web interface that, through reflection mechanisms, created the classes on the  Caché environment  ◦ Auto documentation of the created classes and online documentation consulting using reflection to present the latest version of the Request Class  ◦ Object Layer developed to allow Java and COM consistency  ◦ Perl based SNMP component and MIB descriptor for SCI components  ◦ MQSeries and Java integration  ◦ Architecture definition and maintenance of the RFC SAP R/3 connectors written in C  ● Pilot integration project for the Brazilian Federal Planning Cabinet in Java using SSL support for the integration with XML  Module via secure connection  ● Several meetings with Intesystems' team to present the SCI product and technology sharing  ● Developed a Rational Rose plug-in to allow creation and updating of models from Caché.","August 2011 to Present && August 2011 to December 2016 && February 2008 to December 2011 && May 2008 to May 2009 && September 2007 to April 2008 && December 2002 to September 2007 && October 2002 to December 2002 && October 1998 to September 2002","Software Architect && Associate Professor && Associate Professor && CNPq funded Developer && Systems Analyst && Lead Technologist && Systems Analyst - Freelancer && Systems Analyst","Niterói, RJ, BR","University on Coursera && Unicamp && Pontifícia Universidade Católica Rio de Janeiro, RJ && Universidade Federal Fluminense && Universidade do Estado do Rio de Janeiro","October 2016 && 2015 && 2007 to 2011 && 2003 to 2005 && 1995 to 2001","Certificate && Continuous Education && PhD in Computer Science && Master in Computer Science && Bachelor in Information Technology and Computer Science","Create solutions to real problems by applying information technology and computer science;  Develop my creative potential, using parallelism and distribution techniques, as a Software Engineer."
"14","None","Java (7 years), Maven (5 years), Jenkins (5 years), Agile (5 years), Git (5 years), PHP (4 years), MySQL (7 years), Oracle (3 years), REST API (4 years), Jboss (4 years)","Wplex - Florianópolis, SC && Webcota - Balneário Camboriú, SC && Videosoft - Balneário Camboriú, SC && Geosapiens - Itajaí, SC && Freelance - Balneário Camboriú, SC","Analysis and development of urban transport system, with emphasis on fleet planning, crew, reports etc.  We are encouraged to involve a cross-functional team working, codes, tests, debugs, implements, and documents programs. Assists in the modification of company products and/or customer/internal systems to meet the needs of the client and/or end-user.  Some Linux system administration and tools experience (grep, cron, ssh, scp, vi, MySQL), preferably RHEL/CentOS. Comfortable working at the command line.    Programming language:  - Java 8 SE / Java EE    I perform operations directly with Linux / Server when necessary. && I participated from the beginning of the project as a Software Engineer, helping to build the software following the best practices.  Webcota is an online software where users compete for bids, can manage them and with software, take advantage of other buyers because the software provides an excellent extra tool to manage bids, before, during and after the purchase.    Currently the system was closed to the public and is only used internally by the company.  WebCota was a Startup Company.    Programming language:  - Java 7 SE / Java EE  - PHP && Researches and analyzes existing systems and program requirements, under periodic supervision.  I participated in the creation and maintenance of systems used by terminals TouchScreen, such as:  - TotemRecarga (system for mobile recharge)  - AdegaDigital (wine system for supermarkets)  - ReceitaDigital (system for recipes for supermarkets)    Programming language:  - Java  - PHP  - C++  Use of tools such as:  - Maven  - Artifactory  - Jenkins  Databases:  - PostgreSQL  - H2  - SQLite && Participation in the development of the Project ""BAHIA PESCA"" design (control system logs and monitoring forest companies). Always seeking for the design patterns and doing the best practices.    Programming:  - PHP  - Java 6  - Action Script  Databases:  - PostgreSQL  - SQL Server  - MYSQL && I worked in a new private project to a custumer, using Java Swing and MySQL database. This project is a control management system and finance specific to the rules of the customer.  In the second business was a Beauty Salon Management System, where I sold to some beauty salons.    Programming language:  - Java 6  - PHP  Databases:  - H2  - MYSQL","February 2014 to Present && June 2013 to January 2014 && October 2011 to July 2013 && April 2009 to April 2011 && January 2008 to April 2009","Software Developer && Software Developer && Software Developer && Software Developer && Software Developer","Florianópolis, SC","Univali University Itajaí, SC","2008 to 2013","Bachelor in Computer Science","Dear Sir/Madam,    Information Systems Technician and Bachelor of Computer Science. Several years of experience in software development for kiosks, including backend and frontend development, product catalogues and payment apps, monitoring systems. Organizational competencies: Analytic thinking, planning, quick adaptation to changes, collaboration, innovation, courage to face challenges. No matter the nationality, most people are honest and trustworthy.    I have the European Passport.    Yours faithfully"
"15","Additional Information SharePoint, .NET C#, Angular, BizTalk",".NET (10+ years), Sharepoint (10+ years), Software Development (10+ years), Soa (10+ years), PHP (5 years), Asp.Net (10+ years), Visual Studio (10+ years), C# (10+ years), Scrum (5 years), Oracle (10+ years), SQL (10+ years), Database Management (10+ years), Systems Integration (10+ years)","AngolaPrev - Luanda && Avanade - Recife, PE && Caixa Seguradora S/A - Brasília, DF && Uniceub - Brasília, DF && B2BR - Brasília, DF","Senior Consultant Team Leader Developer .NET SharePoint in the AngolaPrev maintenance cell, with support to the legacy systems of the National Social Security Institute of Angola (INSS), working with software architecture drawings and solutions and supporting the Support using Microsoft .NET, MVC4, DDD, C #, SharePoint, Kofax, BizTalk, Sequence technologies. && Leadering one cell (Team Collaboration) from .NET C# SharePoint developers, implementing sustentations critical systems from big companies around the world with SharePoint solutions using .NET Framework 4.5 C# to improve legacy systems and bring agility across integrations and solutions to customers. && Worked as an Software Architect, projecting and drawing solutions together with the Team Microsoft Official (Brazil) from Official Portal Caixa Seguros to sell services from Social Insurance on Brazil and France, using .NET tecnologies and SharePoint with integrations with others legacy plataforms using SOA. && Senior Developer .NET Consultant. Acting in the Development of legacy Educational Systems of the University, using Microsoft ASP.NET, C #, SQL Server, Business Intelligence (BI) SharePoint 2010 with Age Development Methodologies SCRUM && Senior Developer .NET Developing B2br internal systems development. Using Microsoft technologies ASP.NET, C #, SQL Server, Business Intelligence (BI), SharePoint 2007 and ERP (Benner) and agile development methodologies SCRUM. Through the company I worked on a project of the Federal Revenue at the Ministry of Finance - Brasília (DF). Conducting analysis and development of the Tivoli reporting WEB system at the national level. Using PHP 5, AJAX, DB2 and MySQL technologies.","March 2014 to Present && March 2014 to March 2015 && March 2013 to March 2015 && March 2010 to March 2012 && March 2007 to March 2010","Senior Software Engineer && Senior System Analyst (SSA) && Lead Software Architect && Senior Developer .NET && Senior Development .NET","Vancouver BC","IGTI Belo, WV && Uniceub Brasília, DF && UNICAP - Catholic University of Pernambuco Recife, PE","March 2015 to March 2017 && March 2013 to March 2015 && March 2003 to March 2007","MBA in Software Architecture, Software Engineering in Computer Science && BA in Technologist Degree in System Analysis and Development && Bachelor of Science in Computer Science, Computer Science (not complete, 8º period) in Computer Science","▪ I am a Developer/Software Engineer with a Bachelor's Degree in Systems Analysis with 15 years of work experience. I’ve worked in large and international companies, gaining considerable skills during this time as good experience with Business Process Management (BPM), analyzing, supporting, developing business processes using the tools in SharePoint, Sequence technologies integrations .NET C#, also working as International Consultant, exploring technologies and tools like SOA, Windows Forms, MVC 4, MVC 5, DDD, WCF, BizTalk, Reporting Services, JQuery, REST, Angular, Business Intelligence abroad.  ▪ Managing and coordinating projects with the team, including strategies for the customer requirements for several countries such as Africa, United States and Brazil. By being a highly analytical thinker I am able to identify, improve and streamline complex work processes. I have a very strong set of interpersonal skills and great ability to resolve problems."
"16","None","Java (3 years), Javascript (1 year), Git (3 years), Software Development (3 years)","Bluesoft - São Paulo, SP && Bluesoft - São Paulo, SP && IBM - São Paulo, SP && MATERA Systems - Campinas, SP","São Paulo, Brazil, && São Paulo, Brazil.  • Develop high quality software, including clean and maintainable code.  • Provide well designed REST APIs to our frontend developers.    • Unit test as much code as possible.  • Use Java 8 and its new features, like Lambda and Streams.  • Refactor Legacy Code to Java 8  • Review code of my colleagues  • Teach Interns and Trainees as much as I can as well as learning from them.  • Learn from Senior developers as much as I can as well as teaching them.    • Discuss system architecture in order to define the best approach possible when developing new tasks  • Play the Scrum Master role when the official is on vacations. && Hortolândia, São Paulo  • Develop a software to schedule deployments of products of one of our customers.    • Review and correct possible mistakes from our Co-workers anywhere in the World    • Help local co-workers who came from a different work experience to settle down and teach them the Java stack we were using by then && Campinas,  São Paulo.  • Develop a desktop system in Java SE to generate .war and .ear files that Testers  would use.  • Develop a module of a new payment method for a bank who had just joined  business in Brazil.  • Train other interns who joined after me.","January 2016 to Present && January 2016 to November 2016 && July 2015 to December 2015 && November 2013 to July 2015","Junior Software Developer IV && Junior Software Developer III && Junior Software Developer && Intern Software Developer","São Paulo, SP","Code academy profile && Universidade São Francisco","November 2016 && June 2016","Software Architecture && None","• Three years working with Software Development. From banking systems to  ERP software for Supermakets usage, mainly focused on Logistics and Inventory.  • Passionate about new technologies ano good quality software.  • Great partner at work.  • Hunger for knowledge.  • Experience working with Java ano Spring, but have some knowledge on  other technologies, like Javascript(and some JS frameworks, like  AngularJS/ReactJS), HTML5, CSS3 and a very small understanding of Ruby on  Rails. I also have experience on Linux and MacOS environments ano relational  databases (Oracle and MySQL) and have used Git and SVN as CVS."
"17","Additional Information Qualificações  Envolvido na área da computação, a partir dos doze anos de idade, adquiri conhecimento em:  • WEB:  o HTML 5 / CSS / JavaScrip / JQuery / Ajax / Django (framework) / PHP  • BACK-END:  o Python / C / Java  • Design:  o Photoshop  • Sistema Operacional:  o Windows / GNU|Linux  • Banco de Dados:  o PostgreSQL / MySQL    Curso de HTML5 Homologado pela W3C (World Wide Web Consortium é a principal organização de  padronização da World Wide Web)  Certificado Alura de JavaScript e JQuery","Java Intermediário (Less than 1 year), Django (Less than 1 year), Python Avançado (Less than 1 year), JavaScript Básico (Less than 1 year), HTML Avançado (1 year), CSS Intermediário (Less than 1 year), Php (Less than 1 year)","Fabrica de Software IPE - João Pessoa, PB","Development of django aplication, using Tdd, opencvs, Linux, Javascript, jQuery, html, css, PostgreSQL","August 2016 to December 2016","Django Developer","João Pessoa, PB","Unipe João Pessoa, PB","August 2016 to August 2020","Bacharelado in Ciência da Computação","None"
"18","None","Java (3 years), Unity (3 years), Sql (2 years), C++ (Less than 1 year)","Laboratório Bridge - Florianópolis, SC && Catnigiri - Florianópolis, SC && SCGames - Florianópolis, SC && Númera - Florianópolis, SC","Develop a system to the Brazilian health ministry (SISMOB), a java web application with Vaadin that monitor all constructions made, it has also an app version for android.  We have a team of 30 members, each one of us has to work on every part of the system, from the front-end to back-end.   The synchronization between the app version and the web version felt under my responsibilities, I'm using REST to handle the communication between then. && Responsibilities:  Has the only programmer at the company my tasks would change from build games to setting up the revision control server.    Accomplishments:  Build 2 games prototypes in the little period I stayed in the company. Unfortunately they wanted me to work full time and that was interfering with my collage grades, my only option was to leave the company.    Skills Used  Programming(C#), Game Design && Responsibilities:  Teach how to build games in java to students with age varying from 12 to 19 years old.    Accomplishments:  Both of my classes where able to completely build 2D desktop games with less than an year course.    Skills Used  Team communication, programming knowledge(Java) and leadership. && Responsibilities:  I developed mini games for two educational games(""Libras Brincando"", ""ABC Libras"").    Accomplishments:  As an intern I shouldn't have to build too many games, but in the beginning of the project one of the two main programmers dropped the project, so half of the work he should do was left to me. I managed to make all his tasks. Unfortunately the company was leaving the game development field, in that time my objective was to work with games so I left the company when all the games were finished.    Skills Used  Object Oriented Programming(Action Script 3.0), MVC pattern, Team communication","September 2015 to Present && June 2014 to November 2014 && June 2013 to June 2014 && February 2012 to December 2012","Junior Software Developer && Programmer && Programmer/Teacher && Programmer Intern","Florianópolis, SC","UFSC Floarianópolis, SC && Univali Florianópolis, SC","2012 to 2016 && 2011 to 2013","BSc in Computer Science && Technologist in Digital Games","None"
"19","None","Webtrends Certified Professional, Web Analytics Consultant, Graphic Design, Web Developer, ASP, PHP, MySQL, JavaScript, AS2, COBOL, C++, Objective-C, VB","CLM SOFTWARE (Brazil) - São Paulo, SP && BETJACKS.COM (Ireland) - Dublin && CASA56 COMUNICAÇÃO - Rio de Janeiro, RJ && CASA56 COMUNICAÇÃO && CASA56 COMUNICAÇÃO - 北京市 && CASA56 COMUNICAÇÃO && GLOBO.COM && XUXA PROMOÇÕES E PRODUÇÕES ARTÍSTICAS (Brazil) && XUXA PROMOÇÕES E PRODUÇÕES ARTÍSTICAS (Brazil) && ANIMA DESIGN CONSULTORIA E DESIGN LTDA 13 && TV ASTECA (Mexico) - MEXICO","○ Internal analytics consultant at Petrobras (Brazilian Oil Department)  ○ Responsible for more than 590 profiles and 300 Apps  ○ Responsible for Internal training (more than 5k users)  ○ Responsible for Dashboard development using the Webtrends API  ○ Responsible for the Technical Support and BI Team  ○ Dashboard development for Video Analytics and Web Analytics. Static and Dynamic (php+json+js+css)  ○ API Specialist, integrating customer data with Real Time Dashboards in HTML5  ○ Apps Development with Webtrends Apps.  ○ Web Analytics Consultant:  ○ BI Strategy;  ○ Dashboard development;  ○ Analytics installation and technical consulting (MS SQL, WINDOWS 2003/2008/2012 SERVER)  ○ Software Upgrade;  ○ SEO / SEM;  ○ Web site tagging;  ○ BATCH script to automate environment;  ○ Article: ""Marketing for Webtrends, how to apply it and increase numbers"". && o http://www.betjacks.com  o http://www.betjackssports.com  o Betjacks.com - MOBILE && o Development and Manufacturing  http://www.ressurgir.org.br  http://www.bancoprosper.com.br  http://www.maximaasset.com.br  http://www.casa56.com.br  http://www.dragolym.com.br  http://www.reflex.com.br  http://www.casa56.com.br/clientes/ilhaferraz  http://www.revistagarcia.com.br/temp  http://www.contrapontoeditora.com.br && o 2D animation, story development of ""Dragolym"" to The Olympic Games (Beijing)  See the pilot at www.dragolym.com.br && o Manipulation and retouching.  Photographer Assistant to the Magazine GARCIA  http://www.revistagarcia.com.br/temp (temporary address) && o Responsible for all website images: Globo.com, G1.com.br, EGO.com.br, etc  o Coverage of 13º Prêmio Multishow (Music Awards)   o Coverage of Festival do Rio 2006 (Movie Awards) && o Animations developments to ''Xuxa no Mundo da Imaginação''  o Animations developments of ""Guto"" and ""Xuxinha""  o Development of wallpapers, illustrations and other arts to attractions in the park ""O Mundo da Xuxa""  o Development of poster to the movie ''Abracadabra''. && WEB DEVELOPER  o Development and maintenance of Petrobras Website (petrobras.com.br) && o PC/SERVER and network maintenance  o Web design and development of all web sites && o 2D Animation, story development of ""Pegasito"" to The Olympic Games (Athenas) && None","January 2009 to Present && July 2008 to November 2008 && February 2007 to April 2008 && February 2007 to April 2008 && February 2008 to February 2008 && November 2007 to February 2008 && March 2006 to September 2006 && September 2002 to 2006 && February 2004 to April 2005 && 2000 to August 2002 && None","Webtrends Consultant / Developer && Web Designer / Programmer && Web Designer / Photographer Assistent && WEB DESIGNER / WEB DEVELOPER && DESIGNER / CARTOONIST ANIMATOR && PHOTOGRAPHER ASSISTANT && ART ASSISTENT && DESIGNER / CARTOONIST ANIMATOR && FREE LANCE && WEB MASTER / MCP && DESIGNER / CARTOONIST ANIMATOR","Rio de Janeiro, RJ","o Dublin Cultural Institute Dublin && University Gama Filho Rio de Janeiro, RJ","2008 && 2000 to 2004","English && BBA in Digital Design","Brazilian, 35 years, 18 working with digital marketing, web design, programming and animation. Worked for 10 years for the Brazilian TV (Rede Globo), some animations for TV Asteca (Mexico) and FOX Network (USA). Developed some apps for iOS and Android for clients in Rio de Janeiro, Brazil and São Paulo, Brazil."
"20","Additional Information Internet/Web Tools: ASP.net […] Jquery, AngularJS, XML, HTML, DHTML, CSS, WSDL, FTP  Application Development Tools: Visual Studio.Net […] Delphi […]  Version Control Tools: Tortoise SVN, MS SourceSafe  Programming Languages: C#, ASP.NET, PL/SQL, Delphi (11+ years)  Data Base: Oracle, MS SQL Server, Firebird, Interbase.","English – Intermediate - Vancouver - Canada (Less than 1 year), Innovative supervisor, Human Resources (2014), IT Strategic Management – ITIL (2013)., IT Governance Essentials (2013), Fundamentals of COBIT (2013), Web Developer / ASP.Net C# / VS2010 (2013), Internal Auditor (ISO 9001 / ISO 14001 / OHSAS 18001) (2013), Environmental management (2012), Learn Six Sigma – Green Belt (2012), PL/SQL – Oracle (2011), Data Access Layer with Framework Methodology (2010), ASP.Net (2010)","Sama S.A. – Minerações Associadas - Minaçu, GO && Projeção Informática LTDA - Goiânia, GO && Inforsystem Informática LTDA - Goiânia, GO && Canion Software - Goiânia, GO","Analyze and document functional requirements for development enhancements, new developments, and enhancements per customer requests, Internal Auditor ISO 9001, 14001 and OHSAS 18001. Manage documents that define how new applications and enhancements will support business requirements. Project leader for Six Sigma (Green Belt) with benefits of $500K in cost avoidance. Developer web applications using ASP.Net, Delphi, PL/SQL, HTML, CSS, Bootstrap, DevExpress, JavaScript, AJAX, XML, UML and C# && Technical support for change control assessments, software change requests, and risk/impact migration. Worked directly with staff on testing, validation, and operational reliability of system platform. Mentored and educated business users with regards to software applications. Provided database administration on Oracle platforms as needs. Created complex queries, database triggers, and indexes on Oracle platforms for a variety of projects. Developer applications desktop using Delphi, PL/SQL, ASP.Net && Programmed Delphi for existing systems and new module design and development. Analyzed database logical and physical structures and conducted impact analyses on business requirements. Performed database administration on Firebird platform as needed && Designed, and tested all components and assembly of application code. Maintained customers and clients existing information systems and databases. Assessed code, and tested approved software changes affecting application systems. Developer application desktop using Delphi, MS/SQL.","August 2010 to Present && 2008 to 2010 && 2006 to 2008 && 2004 to 2006","Senior Software Developer && Senior Software Developer && IT Developer && Senior Software Programmer","Minaçu, GO","IPOG Goiânia, GO && PUC/Go Goiânia, GO && UNIP Goiânia, GO","2013 to 2014 && 2009 to 2010 && 2000 to 2005","MBA in Project Management && Specialization in Management and Software Quality && Bachelor in Computer Science","Highly accomplished IT Professional credited with combining project management, conceptual design, and databased modeling to better streamline business operations. Strong expertise working with major corporate clients including: IT leadership, programming knowledge, and troubleshooting technical challenges. Skilled in the ability to build and maintain relationships with effective communication. Seeking to align skill-set with a forward thinking organization."
