"CandidateID","Additional-Info","Skills","Work-Experience__Company","Work-Experience__Job-Description","Work-Experience__Job-Duration","Work-Experience__Job Title","Location","Education__Institute","Education__School-Duration","Education__Qualification","Resume-Summary"
"0","None","Pega PRPC (4 years)","Lnt infotech.com - London","Provided User Trainings and application demos.    • Currently working as a Sr Software Engineer in L&T InfoTechCertifications/ Trainings / Awards    UK  • PEGA CSA and CSSA (Certified System Architect) Certified.  • Got the Pega Star Per former Award for best performance In LnT InfoTech on August 2014  • Got Eagle Team award for Best managed project in LnT InfoTech on per year of 2014  • Got the Pega Star Per former Award for best performance In LnT InfoTech on August 2015","June 2013 to Present","Sr. Software Engineer","London","JNT University Hyderabad MARSH, UK","2015","B. Tech in Information Technology","➢ Having 4 years of total experience on developing enterprise BPM Application development Using PEGA PRPC 5.x, 6.x and7.x  ➢ Good experience on Oracle DB and HTML and other integration components such MQ Services  ➢ Have POC experience on Upgrade of PRPC v5.5 to PRPCv7.1.5 and PRPC v5.5 to PRPC v6.3  ➢ Have good experience in implementation of PRPC Applications by used PRPC v5.x and v 6.x  ➢ Strong experience on Creating work flows, User interface, activities, Decision and Declarative rules, Views  ➢ Experience on testing and debugging tools such as Tracer, Rules Inspector, Clipboard  ➢ Ability to handle issues by prioritizing the work and providing quick updates to Business Team.  ➢ Consistent outstanding performance, received customer appreciations"
"1","Additional Information SKILLS    JAVA, JavaScript, Jquery, AngularJS I,  Bootstrap, HTML5+, CSS3, MSSQL  SERVER 2012+, Vertica 7.01+ specialist  Spring, Hibernate  Shell scripting  GIT version control","Java (3 years), Javascript (4 years), Jquery (4 years), Html (4 years), Css3 (4 years), Bootstrap (4 years), Sql (4 years), Git (3 years), Agile (3 years), Python (2 years)","NAPA Romania S.R.L - RO && None","Built, tested and deployed scalable, highly available and modular software products.  Streamlined deployment process by developing continuous integration tools.  Modified existing software to correct errors, adapt to new hardware and improve  performance.  Worked closely with clients to establish problem specifications and system designs.  Performed regression and system-level testing to verify software quality and function before it was released.  Created, delivered and maintained scalable system architecture to support a  high-availability internet site with various internal applications.  Collaborated with developers and performance engineers to enhance supportability and identify performance bottlenecks.  PHP and E-commerce websites && None","October 2014 to February 2017 && June 2013 to October 2014","Software developer && Freelancer","Galati","University Galati","October 2013 to June 2017","Bachelor in Computer Science and Technology of information","Software Developer skilled in Agile and Scrum working environment, communication and  presentations. Experienced in full project life cycle from design to implementation to  integration."
"3","Additional Information TECHNICAL EXPERTISE    Microsoft Technologies SharePoint 2013, Office 365, SharePoint 2010, C#.NET.  Tools SharePoint Designer 2013, SharePoint Designer 2010, Visual Studio […]  Database MS-SQL Server […]  Mark-up Languages HTML5, XML  Scripting Languages JQuery, Java Script  Operating Systems WINDOWS Server […] Windows 7, Windows 8","Sharepoint 2013, SharePoint Online, o365, SP Designer, Visual Studio 2013, VS 2015, SP Designer, HTML5, CSS3,NodeJS, Angular JS, Jquery, Bootstrap, Migration Tools (5 years)","Altisource Business Solutions Pvt.ltd - Bangalore, Karnataka","Bangalore  • Worked as Senior Software Engineer in Xencia Technology Solutions Pvt.ltd from April 2014 to September 2016, Bangalore.  • Worked as Software Engineer in H-Line Soft Information Technology Pvt. Ltd from April 2011 to March 2014, Hyderabad.","October 2016 to Present","Senior Software Engineer","Bangalore","Osmania University","None","MCA","• Having 5.9 years of experience in Microsoft Technologies (Microsoft SharePoint).  • Hands on Experience in SharePoint Online (Office 365).  • Hands on Experience in SharePoint On-Premises 2013.  • Hands on Experience in SharePoint 2010.  • Hands on Experience in CSOM & ECMA Script (JSOM).  • Hands on Experience in developing Rest API.  • Hands on Experience in Server Object Model.  • Hands on Experience in developing Out of Box Web parts.  • Hands on Experience in developing Workflows.  • Hands on Experience in developing User Profiles.  • Hands on Experience in developing Design Manager.  • Hands on Experience in developing InfoPath Forms.  • Hands on Experience in Migration tools Sharegate and Metalogix.  • Hands on Experience in SharePoint Online Migration.  • Hands on Experience in Creating Masterpages, PageLayout, custom pages.  • Hands on Experience in creating features, event handlers and visual web parts using Visual Studio.  • Hands on Experience on SharePoint Hosted Apps.  • Hands on Experience in developing Responsive Designs.  • Hands on Experience in developing HTML5.  • Hands on Experience in developing CSS3.  • Hands on Experience in developing JQuery.  • Hands on Experience in developing Bootstrap.  • Having Knowledge in Angular JS.  • Having knowledge on Web Services.  • Quick learner with the ability to grasp new technologies and software.  • Quick learner of technology and the business.  • Genuinely enjoys working as a team and solving problems collaboratively.  • Has the motivation to take independent responsibility as well as ability to contribute and be a productive team member."
"0","None","Pega PRPC (4 years)","Lnt infotech.com - London","Provided User Trainings and application demos.    • Currently working as a Sr Software Engineer in L&T InfoTechCertifications/ Trainings / Awards    UK  • PEGA CSA and CSSA (Certified System Architect) Certified.  • Got the Pega Star Per former Award for best performance In LnT InfoTech on August 2014  • Got Eagle Team award for Best managed project in LnT InfoTech on per year of 2014  • Got the Pega Star Per former Award for best performance In LnT InfoTech on August 2015","June 2013 to Present","Sr. Software Engineer","London","JNT University Hyderabad MARSH, UK","2015","B. Tech in Information Technology","➢ Having 4 years of total experience on developing enterprise BPM Application development Using PEGA PRPC 5.x, 6.x and7.x  ➢ Good experience on Oracle DB and HTML and other integration components such MQ Services  ➢ Have POC experience on Upgrade of PRPC v5.5 to PRPCv7.1.5 and PRPC v5.5 to PRPC v6.3  ➢ Have good experience in implementation of PRPC Applications by used PRPC v5.x and v 6.x  ➢ Strong experience on Creating work flows, User interface, activities, Decision and Declarative rules, Views  ➢ Experience on testing and debugging tools such as Tracer, Rules Inspector, Clipboard  ➢ Ability to handle issues by prioritizing the work and providing quick updates to Business Team.  ➢ Consistent outstanding performance, received customer appreciations"
"0","None","Pega PRPC (4 years)","Lnt infotech.com - London","Provided User Trainings and application demos.    • Currently working as a Sr Software Engineer in L&T InfoTechCertifications/ Trainings / Awards    UK  • PEGA CSA and CSSA (Certified System Architect) Certified.  • Got the Pega Star Per former Award for best performance In LnT InfoTech on August 2014  • Got Eagle Team award for Best managed project in LnT InfoTech on per year of 2014  • Got the Pega Star Per former Award for best performance In LnT InfoTech on August 2015","June 2013 to Present","Sr. Software Engineer","London","JNT University Hyderabad MARSH, UK","2015","B. Tech in Information Technology","➢ Having 4 years of total experience on developing enterprise BPM Application development Using PEGA PRPC 5.x, 6.x and7.x  ➢ Good experience on Oracle DB and HTML and other integration components such MQ Services  ➢ Have POC experience on Upgrade of PRPC v5.5 to PRPCv7.1.5 and PRPC v5.5 to PRPC v6.3  ➢ Have good experience in implementation of PRPC Applications by used PRPC v5.x and v 6.x  ➢ Strong experience on Creating work flows, User interface, activities, Decision and Declarative rules, Views  ➢ Experience on testing and debugging tools such as Tracer, Rules Inspector, Clipboard  ➢ Ability to handle issues by prioritizing the work and providing quick updates to Business Team.  ➢ Consistent outstanding performance, received customer appreciations"
"1","Additional Information I am moving to London on Settlement Visa on 18th of December 2016 and I have valid work Permit.  My expertise include working on SharePoint 2013/SharePoint Online/SharePoint 2010, which includes working on REST API ,Boot Strap, Custom Solution and OOTB web parts. I have extensive experience on Workflows both SharePoint Designer and Nintex as well.  For more detail please go through the attached CV.","Sharepoint (6 years), .Net (6 years), Bootstrap (1 year), Agile (4 years)","Zensar Technologies - Pune, Maharashtra && Accenture Services Private Limited && Zensar Technologies Pvt Ltd. - Pune, Maharashtra","• Seasoned Software professional with 6 years of qualitative experience in software development majorly SharePoint technology.  • Currently associated with Zensar Technologies from Jan 2016 as a Sr.Software Engineer. && Practical exposure on Agile Scrum practices and implementation along with Waterfall/Incremental methodologies. && Key Responsibilities:    Client Interaction- Handling Daily Status Calls (Level of client interaction Program Manager).  Creating Custom Master Pages for SharePoint 2010 Intranet site and packaging it through solution.  Creating Page Layouts and packaging it through solution.  Developing Visual Web Parts using User Controls.  Creating Info Path forms.  Creating Custom Master Page for My Profile in SharePoint 2010.  Customizing OOTB CQWP and creating custom Item Style and packaging it through solution.  Developing Sites using power shell script.  Developing Custom List, Libraries, Content Types, Site Columns and Features through solution using Visual studio 2010.  Creating Power shell script for Activating, Deploying, Deactivating wsps and removing solution.  Developing Workflows using Visual Studio 2010.  Configuring and setting up My Site in SharePoint 2010.  Creating custom User Profile Fields using power shell script.  Customizing and configuration of Search Center to add features in Refinement panel.  Customizing OOTB Approval Workflow according to Client Requirements.  Customizing OOTB Web parts, Workflows, List, Document Libraries etc.  Project end to end documentation-Deployment Document, Test Cases.  Bug Fixing     Notable Highlights  Key member of the Project Team at all stages, from requirement gathering, development, delivery and support, while successfully executing the project.  Received Client Appreciation & Internal Spot award for the performance in the project.  While acknowledging the contribution & performance, the Client has requested to retain me as key member for future projects as well.","January 2016 to November 2016 && March 2013 to January 2016 && October 2010 to February 2013","Sr.Software Engineer && Software Analyst and then as Sr.Software Analyst && Software Engineer","London","Uttarakhand Technical University Dehra Dun, Uttarakhand","August 2006 to July 2010","B. Tech in Information Technology","A Proactive Professional seeking a challenging position in a progressive environment, making an important contribution towards the growth of the organization and to work in an atmosphere conducive to the free flow of ideas."
